"title","url","stars","name","reviewUrl","text"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","1",,,"Um an den Strand zu kommen, muss man ein Ticket für den Nationalpark online kaufen. Wir haben 5 Tage im voraus buchen müssen auf SINAC, weil alles andere ausverkauft war. Ein Ticket kostet 16 Dollar.
Der Strand hat uns an einige Strände auf Mallorca erinnert. Wer die Insel kennt, weiß was ich meine. Wir sind hier direkt wieder weg, nachdem wir viele Tiere im Park gesehen haben und zu einem unberührten Strand an der Pazifikküste gefahren (ohne Eintrittsgebühren).
Der Strand ist bestimmt ganz toll, wenn nicht so viele Menschen da wären."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Plage de Manuel Antonio absolument magnifique ! Un vrai décor de carte postale avec du sable blanc, une eau turquoise et la jungle tout autour.
L’ambiance est unique, on se retrouve entre mer et nature, avec parfois des animaux à proximité comme des singes ou des paresseux.
L’eau est calme et agréable, parfaite pour se baigner et se détendre. C’est un endroit idéal pour profiter d’un moment exceptionnel au cœur du parc.
Je recommande vivement de venir tôt pour profiter du calme et de la beauté du lieu avant l’arrivée du monde.
Un véritable petit paradis !"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Best on the trip."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Si vas al Parque Nacional Manuel Antonio, no olvides visitar Costa Rica, y si lo haces con Willy Tours, pregunta por Walbert, mejor guía no encontraras"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Muy bonita playa, agua calentita y bien clarita. Está rodeada de árboles y palmeras, lo que ofrece muchas zonas de sombra natural.

Queda dentro de la reserva natural del Manuel Antonio, porque que si visitas la reserva lleva traje de baño.

En el lugar hay baños y duchas.

Tiene muchos menos olas que la que se se encuentra fuera de la reserva."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"great beach

the sand is very fine and the water is very warm"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Definitely worth it, it’s a great public beach with Lots of monkeys, birds and some HUGE waves. I would not take young kids if you are wanting to swim in the ocean because of how high the waves get. They had parasailing, jet skis , lots of stuff to do. There is even a possibility of croc airings. Lifeguards on site too!"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Hermosa, muy tranquila y limpia"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"MUY BONITO EL PARQUE!!! la playa es muy tranquila y el agua calientita, ambiente familiar"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Highly recommended. Waves will be strong so swimming is unrealistic but really clean and it has amazing views."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","4",,,
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Es una playa muy bonita y difícil de superar."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Beautiful beaches and surrounded by comfortable places"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Un lugar muy hermoso, vale la pena ir con un guía para ver las diferentes especies en la zona. ❤️"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Playa Manuel Antonio, ideal para refrescarse luego del trekking por el parque, cuidado con los monos que te abren las mochilas, la playa es muy bonita rodeada de mucha naturaleza, agua calentita, un poco sucia por las hojas y con algunas rocas."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Spiaggia bellissima
Con tramonto meraviglioso 🤩"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Hermosa playa para pasar todo el día, recomiendo ir temprano y llevar toalla para aprovechar sentarse a la sombra.
Cuidado con los monos, andan a la vuelta y roban las pertenencias."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Volvería a ir de nuevo de fijo, increíble lugar para los amantes de la naturaleza y animalitos 😍"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Pięknie"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","3",,,"Jolie plage mais que de monde."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Stellar beach with warm and calm waters. A little more secluded from than the other beaches, keep in mind you can only access via national park tickets"
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","3",,,"Zusammenfassung: Touristische Hochburg. Strände super schön, aber durch die Menge an Touristen ungenießbar."
"Playa Manuel Antonio","https://www.google.com/maps/search/?api=1&query=Playa%20Manuel%20Antonio&query_place_id=ChIJFdVKFgpxoY8RcGgijI60MV8","5",,,"Me encantó esta playa, unas de las mejores playas que he visitado"
